MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!11!]
Q-3:	|11110101 10011011 11101110 00010110|
Q-2:	|0+++0+++ 1++011-+ +++-+111 111111-+|
Q-1:	|-110-10- 0++11010 0-+0-110 1111-+++|
Q0:	|+00-+10- 10-01+11 01+01011 0001-0+0| ok p=0.356445
Q1:	|+.+1+-.+ .11.+1.. .1+.01.+ .-.0--.-| ok p=0.517578
Q2:	|..-11+.1 ..+.-+.. .....+^+ .0.++10-| ok p=1
Q3:	|11-.0-.0 ..-.+-1. !.0..1-1 .0.-01.-| ok p=1
Q4:	|10.0+0.. ..1^+-0. ..0..110 .1101...| ok p=1
Q5:	|-.1.-+.. .^0+0+.. .^-...0+ .+.00..0| ok p=1
Q6:	|+...-+.. .+01-1.^ .+0.!..- .+......| ok p=1
Q7:	|+.!.-.1. .0+-+1.- ^01....- .+...0..| ok p=1
Q8:	|+!..+01. .10++..0 .1...... .+...1..| ok p=1
Q9:	|-...+.+1 ..1+-..0 .+.....1 .+.!.-0.| ok p=1
Q10:	|+.1...+1 01001.11 100.!0.. .1...11.| ok p=1
Q11:	|+.0.111+ 1001-.0- 011^^1.. 0+.01-+.| ok p=1
Q12:	|+!+^100+ --+-+.+0 1-----.. 10^1010.| ok p=1
Q13:	|+!-+0+++ 1++--.0- +1+010.. -++++0-0| ok p=1
Q14:	|-.00-00. ++..1^10 101010.. 1-000.01| ok p=1
Q15:	|1^0+0111 0+010-.1 +.-.--.0 1-111.0-| ok p=1
Q16:	|0..+0..1 -1.0.-.. +...1..1 .+.0...0| ok p=0.878906
Q17:	|...01..1 .0.1.0.. 1.^.0^.- .1.1...+| ok p=0.566406
Q18:	|...10..+ ^..+.1.. -...1... .1.-...+| ok p=0.848633
Q19:	|....-... ........ -.0.+..^ .+....0-| ok p=0.925781
Q20:	|..0...0^ ...^.... 001...0. .0.^..1-| ok p=1
Q21:	|..1.^.1. ...0.... 11-.^.1. .1....-0| ok p=0.87793
Q22:	|..+...-. ...1.... .+....+. .......0| ok p=0.824219
Q23:	|........ ...+.0.. ..^..... .0....^.| ok p=0.996094
Q24:	|..^...^. 0....1.. .^....^. .1...0..| ok p=1
Q25:	|........ ...^.-.. ........ .-...1..| ok p=0.879883
Q26:	|.......0 +....... ....0... .....-..| ok p=1
Q27:	|.......1 +....^.. ....1... .^......| ok p=0.996094
Q28:	|.......+ -....... ....+... .....^..| ok p=0.998047
Q29:	|........ 0....... ....0... ........| ok p=1
Q30:	|.......^ 1....... ....-... ........| ok p=1
Q31:	|........ ........ ....-... ........| ok p=0.998047
Q32:	|........ ........ ........ ........| ok p=1
Q33:	|........ ........ ....!... ........| ok p=1
Q34:	|........ ........ ........ ........| ok p=1
Q35:	|........ ........ ........ ........| ok p=1
Q36:	|........ ........ ........ ........| ok p=1
Q37:	|........ ........ ........ ........| ok p=1
Q38:	|........ ........ ........ ........| ok p=1
Q39:	|........ ........ ........ ........| ok p=1
Q40:	|........ ........ ........ ........| ok p=1
Q41:	|........ ........ ........ ........| ok p=1
Q42:	|........ ........ ........ ........| ok p=1
Q43:	|........ ........ ........ ........| ok p=1
Q44:	|........ ........ ........ ........| ok p=1
Q45:	|........ ........ ........ ........| ok p=1
Q46:	|........ ........ ........ ........| ok p=1
Q47:	|........ ........ ........ ........| ok p=1
Q48:	|........ ........ ........ ........| ok p=1
Q49:	|........ ........ ........ ........| ok p=1
Q50:	|........ ........ ........ ........| ok p=1
Q51:	|........ ........ ........ ........| ok p=1
Q52:	|........ ........ ........ ........| ok p=1
Q53:	|........ ........ ........ ........| ok p=1
Q54:	|........ ........ ........ ........| ok p=1
Q55:	|........ ........ ........ ........| ok p=1
Q56:	|........ ........ ........ ........| ok p=1
Q57:	|........ ........ ........ ........| ok p=1
Q58:	|........ ........ ........ ........| ok p=1
Q59:	|........ ........ ........ ........| ok p=1
Q60:	|........ ..0..... ........ ........| ok p=1
Q61:	|........ .11..... ........ ........| ok p=1
Q62:	|........ .1+..... ........ ........| ok p=1
