MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!5!]
Q-3:	|10100100 01110100 01100011 01111001|
Q-2:	|00000000 0111011- +0111111 000+--10|
Q-1:	|10101100 1111000- +1010111 11111+11|
Q0:	|01111+1- -00111-+ +1111000 +-01+-01| ok p=0.949219
Q1:	|.-.1.+.1 --..0.01 .--..0.0 +-..0++.| ok p=0.65625
Q2:	|.-.+...+ 0+..0.00 0-0..-.0 .+..1--.| ok p=1
Q3:	|.-!+.1.+ ++1.+... .-0!.+.- 0+..-10.| ok p=1
Q4:	|!11..... 0+0.-... .+...+0- .00.101.| ok p=1
Q5:	|^+00...0 0-+.+... .11..01. .-1.+.+.| ok p=1
Q6:	|--1....1 .0-.0... .-1..1-0 .0..-.0.| ok p=1
Q7:	|1-0..0.1 .++.1... .0-...+0 .1..-.0.| ok p=1
Q8:	|111..0.+ .01^0..^ .1-...10 ....+...| ok p=1
Q9:	|.0...+.+ .10....+ .-...01+ ....+..1| ok p=1
Q10:	|11.0.-.- 1.-.1101 0+0.01.+ ..01+110| ok p=1
Q11:	|1001.0.+ 0.-10111 1-..1+.1 .110+11+| ok p=1
Q12:	|--1+^-.+ -^+0+--- 01^.-+.0 .1+----1| ok p=1
Q13:	|-++++1.- ++1++++1 +--1-+^+ .-1-0-+-| ok p=1
Q14:	|.01.11.1 11+1.001 0100.-+0 .0++0-10| ok p=1
Q15:	|010010.0 1+10111- 101-1101 0-0+..0-| ok p=1
Q16:	|.0...... .+1..1-. .0.-.+0. ..01.^.+| ok p=1
Q17:	|.1...+.. .00..1.^ .1.0.+.. -^00...1| ok p=0.742188
Q18:	|.+...+.. .10..+^. .+.1.-.. -.1....1| ok p=0.708008
Q19:	|....0-.. ..-..... .....-.. +.+....+| ok p=0.995117
Q20:	|.^..1-.. 0...0^.. .^...1.1 +...0...| ok p=1
Q21:	|....-0.. 1.^.1... .0...1.1 +.^.1..^| ok p=0.47168
Q22:	|.....0.. +...-... .1.....+ 1...+...| ok p=0.964844
Q23:	|....^... ........ .+.0...1 0......0| ok p=0.96582
Q24:	|...0.... ^...^.0. ...1...0 ....^..1| ok p=0.926758
Q25:	|...1.... ........ .^.-.... .......-| ok p=0.939453
Q26:	|...-.... .....0+. ........ ..0.....| ok p=0.939453
Q27:	|........ .....1+. ...^.... ..1....^| ok p=1
Q28:	|...^.... .....+-. ........ ..+.....| ok p=1
Q29:	|........ ......0. ........ ..0.....| ok p=0.953125
Q30:	|........ .....^1. ........ ..-.....| ok p=1
Q31:	|........ ........ ........ ..-.....| ok p=1
Q32:	|........ ........ ........ ........| ok p=1
Q33:	|........ ........ ........ ..!.....| ok p=1
Q34:	|........ ........ ........ ........| ok p=1
Q35:	|........ ........ ........ ........| ok p=1
Q36:	|........ ........ ........ ........| ok p=1
Q37:	|........ ........ ........ ........| ok p=1
Q38:	|........ ........ ........ ........| ok p=1
Q39:	|........ ........ ........ ........| ok p=1
Q40:	|........ ........ ........ ........| ok p=1
Q41:	|........ ........ ........ ........| ok p=1
Q42:	|........ ........ ........ ........| ok p=1
Q43:	|........ ........ ........ ........| ok p=1
Q44:	|........ ........ ........ ........| ok p=1
Q45:	|........ ........ ........ ........| ok p=1
